title,author,pub_date,genres
Naked Empire,Terry Goodkind,2003-07,"Speculative fiction, Fantasy, Fiction, High fantasy"
The Pillars of the Earth,Ken Follett,1989,"Historical fiction, Fiction, Suspense, Historical novel"
Blood of the Fold,Terry Goodkind,1996-10-15,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Temple of the Winds,Terry Goodkind,1997-09-15,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Soul of the Fire,Terry Goodkind,1999-03-15,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Professor,Charlotte Brontë,1857,Speculative fiction
The House of the Spirits,Isabel Allende,1982,"Autobiographical novel, Science Fiction, Fantasy, Fiction"
Mirette on the High Wire,Emily Arnold McCully,,"Picture book, Children's literature, Fiction"
The Five People You Meet in Heaven,Mitch Albom,2003-09-25,"Philosophy, Novel, Fiction, Inspirational"
Shantaram,Gregory David Roberts,2003,"Novel, Biography, True crime, Fiction"
Roots: The Saga of an American Family,Alex Haley,1976-08-17,"Autobiographical novel, Autobiography, Biography, Novel"
King Rat,James Clavell,1962,"Historical fiction, Fiction, War novel, Historical novel"
To Your Scattered Bodies Go,Philip José Farmer,1971-06,"Science Fiction, Speculative fiction"
The Fabulous Riverboat,Philip José Farmer,1971,"Science Fiction, Speculative fiction"
The Dark Design,Philip José Farmer,1977,"Science Fiction, Speculative fiction, Novel"
The Guns of the South,Harry Turtledove,1992-09-22,"Science Fiction, Speculative fiction, Alternate history, Historical fiction"
The Winter of Our Discontent,John Steinbeck,1961,Novel
Ecce Romani,,2000-01,
Le Grand Meaulnes,Alain-Fournier,1913,
Bear Island,Alistair MacLean,1971,"Thriller, Novel"
Last Son of Krypton,Elliot S! Maggin,,"Science Fiction, Speculative fiction"
Miracle Monday,,,
Enchantment,Orson Scott Card,1999,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Roadwork,Stephen King,,"Speculative fiction, Novel"
The Sum of Our Discontent,,,
Edward II,Christopher Marlowe,1593,
La Galatea,Miguel de Cervantes,1585,Fiction
Anandamath,Bankim Chandra Chattopadhyay,1882,Novel
Pandora,Anne Rice,1998-03-02,"Children's literature, Horror, Speculative fiction, Fiction"
Unidentified Human Remains and the True Nature of Love,Brad Fraser,,
Lest Darkness Fall,L. Sprague de Camp,1941,"Alternate history, Science Fiction, Speculative fiction, Fiction"
The Feminine Mystique,Betty Friedan,1963,Non-fiction
The Adventurer,,,
The Pyramid,Ismail Kadare,1996-02-01,"Fiction, Novel"
The Golden Master,Walter B. Gibson,1939-09,Adventure novel
"Judas, My Brother",Frank Yerby,1968,"Fiction, Historical novel"
I Know Why the Caged Bird Sings,Maya Angelou,1969,"Autobiography, Biography"
The Flight of the Phoenix,Elleston Trevor,1964,"Mystery, Novel, Fiction, Suspense"
Hatchet,Gary Paulsen,1987-09-30,"Children's literature, Young adult literature, Fiction"
El filibusterismo,José Rizal,1891,Novel
Armor,John Steakley,1984-12-04,"Science Fiction, Speculative fiction, Fiction"
The Card,Arnold Bennett,1911,"Comedy, Fiction"
The Brethren,John Grisham,2000,"Thriller, Fiction, Suspense"
Where The Wild Things Are,Maurice Sendak,1963,"Picture book, Children's literature, Fantasy, Speculative fiction"
These Old Shades,Georgette Heyer,1926,"Mystery, Fiction, Romance novel"
Up From Slavery,Booker T. Washington,,
Ripley Under Ground,Patricia Highsmith,1970-06,"Crime Fiction, Mystery, Fiction, Suspense"
Incidents in the Life of a Slave Girl,Harriet Ann Jacobs,1861,
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,1845,Autobiography
Iron Sunrise,Charles Stross,2004,"Science Fiction, Speculative fiction, Novel"
The Terminal Man,Michael Crichton,1972-04-12,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Wolf's Hour,Robert R. McCammon,1989-10-12,"Speculative fiction, Horror, War novel"
Settling Accounts: Drive to the East,Harry Turtledove,2005-08,"Alternate history, Science Fiction"
Settling Accounts: Return Engagement,Harry Turtledove,2004-08,"Alternate history, Science Fiction"
The Skin of Our Teeth,Thornton Wilder,,
The Weapon Shops of Isher,A. E. van Vogt,1951,"Science Fiction, Speculative fiction, Fiction, Novel"
Three Essays on the Theory of Sexuality,Sigmund Freud,1905,
Closer,Patrick Marber,,
Wise Children,Angela Carter,,"Fiction, Magic realism"
The Pioneers,James Fenimore Cooper,1823,Historical novel
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1995,"Speculative fiction, Fantasy, Fiction, Parallel novel"
Hocus Pocus,Kurt Vonnegut,1990,"Science Fiction, Speculative fiction, Fiction, Novel"
Deadeye Dick,Kurt Vonnegut,1982,"Speculative fiction, Novel"
The Fox,D. H. Lawrence,,Children's literature
Dream Story,Arthur Schnitzler,,"Fiction, Novel"
A Mathematician's Apology,G. H. Hardy,,
A New Way to Pay Old Debts,Philip Massinger,,
Fathers and Sons,Ivan Turgenev,1862-02,"Politics, Fiction, Philosophy"
Zero Minus Ten,Raymond Benson,1997-04-03,"Spy fiction, Fiction"
Demon City Shinjuku,Hideyuki Kikuchi,,
The Fabric of the Cosmos,Brian Greene,2004,Non-fiction
A Million Open Doors,John Barnes,1992,"Science Fiction, Speculative fiction, Fiction"
Letters on the English,Voltaire,,Essay
James Bond: The Authorised Biography of 007,John Pearson,1973,Spy fiction
Colonel Sun,Kingsley Amis,1968-03,"Mystery, Spy fiction, Fiction, Suspense"
Phantastes,George MacDonald,,"Speculative fiction, Fantasy"
The Unknown Shore,Donald Malcolm,1959,"Speculative fiction, Fiction, Historical novel"
The Simultaneous Man,,,"Science Fiction, Dystopia"
The Grandmother,,,
"Rich Man, Poor Man",Irwin Shaw,,Novel
Dinosaur Planet,Anne McCaffrey,1978,"Science Fiction, Speculative fiction, Children's literature, Novel"
The Night Land,William Hope Hodgson,1912,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Coyote,Allen Steele,,Science Fiction
State of Fear,Michael Crichton,2004-12-07,"Science Fiction, Techno-thriller, Utopian and dystopian fiction, Fiction"
Rushing to Paradise,J. G. Ballard,1994,"Speculative fiction, Fantasy, Fiction, Novel"
Blood of Elves,Andrzej Sapkowski,1994,"Speculative fiction, Fantasy"
Rebecca,Daphne du Maurier,1938,"Gothic fiction, Mystery, Crime Fiction, Romance novel"
Everyone Poops,Taro Gomi,1993,Children's literature
The Dancing Girl of Izu,Yasunari Kawabata,1926,
Religion Explained,Pascal Boyer,2001,"Psychology, Science"
Stone of Farewell,Tad Williams,1990-08,"Speculative fiction, Fantasy, Fiction"
To Green Angel Tower,Tad Williams,1993-03,"Speculative fiction, Fantasy"
The Diamond Smugglers,Ian Fleming,1957,Non-fiction
The Clerk's Prologue and Tale,Geoffrey Chaucer,,Morality play
Daisy Miller,Henry James,,Novella
Ada or Ardor: A Family Chronicle,Vladimir Vladimirovich Nabokov,,"Alternate history, Science Fiction, Speculative fiction"
Idlewild,Nick Sagan,2003,"Science Fiction, Speculative fiction, Fiction"
Beautiful Losers,Leonard Cohen,1966,Fiction
No Crystal Stair,Mairuth Sarsfield,,Fiction
1975 in Prophecy!,,,
Sula,Toni Morrison,1973-11,"Children's literature, Fiction, Novel"
Beloved,Toni Morrison,1987-01,"Novel, Children's literature, Historical fiction, Speculative fiction"
The Peace War,Vernor Vinge,1984,"Science Fiction, Speculative fiction, Novel"
Marooned in Realtime,Vernor Vinge,1986,"Science Fiction, Speculative fiction, Detective fiction, Fiction"
Haroun and the Sea of Stories,Salman Rushdie,1990-09-27,"Speculative fiction, Fiction, Magic realism, Novel"
Ill Met by Moonlight,W. Stanley Moss,1950,War novel
Licence Renewed,John Gardner,1981,Spy fiction
Une histoire américaine,,,
For Special Services,John Gardner,1982-09,Spy fiction
Carl's Afternoon in the Park,,,
Icebreaker,John Gardner,1983-07-07,Spy fiction
Role of Honour,John Gardner,1984,Spy fiction
Nobody Lives For Ever,John Gardner,1986-06-26,Spy fiction
"No Deals, Mr. Bond",John Gardner,1987-05-21,Spy fiction
Voyage of the Damned,Gordon Thomas,,
"Win, Lose or Die",John Gardner,1989,Spy fiction
Brokenclaw,John Gardner,1990-07,Spy fiction
The Man from Barbarossa,John Gardner,1991,Spy fiction
Death is Forever,John Gardner,1992,Spy fiction
Never Send Flowers,John Gardner,1993-07-15,Spy fiction
SeaFire,John Gardner,1994-08,Spy fiction
COLD,John Gardner,1996-05-02,Spy fiction
The Facts of Death,Raymond Benson,,"Spy fiction, Fiction"
High Time to Kill,Raymond Benson,1999-05-06,"Mystery, Spy fiction, Fiction, Suspense"
Doubleshot,Raymond Benson,2000-05-04,"Spy fiction, Fiction, Suspense"
Never Dream of Dying,Raymond Benson,2001,"Spy fiction, Fiction"
The Man with the Red Tattoo,Raymond Benson,2002-05-02,Spy fiction
Facundo,Domingo Faustino Sarmiento,1845,
The Silencers,Donald Hamilton,1962,"Spy fiction, Novel"
The Ambushers,Donald Hamilton,1963,Spy fiction
Crusade in Jeans,Thea Beckman,1973,"History, Children's literature, Fantasy, Novel"
Smilla's Sense of Snow,Peter Høeg,1992,"Crime Fiction, Speculative fiction"
A View from the Bridge,Arthur Miller,,
Quiet as a Nun,,,"Thriller, Crime Fiction"
The Chimes,Charles Dickens,1844,Novella
The Cricket on the Hearth,Charles Dickens,1845,Novella
"""A"" is for Alibi",Sue Grafton,1982-04-15,"Mystery, Speculative fiction, Fiction, Suspense"
Phaedo,Plato,,
Michael Strogoff,Jules Verne,1876,"Children's literature, Novel, Adventure novel, Speculative fiction"
Thérèse Raquin,Émile Zola,1867,"Psychology, Psychological novel"
Les Rois Maudits,,,
Kaleidoscope Century,John Barnes,,"Science Fiction, Speculative fiction, Fiction"
Persian Letters,"Charles de Secondat, baron de Montesquieu",1721,
Bonjour Tristesse,Françoise Sagan,1954,Novel
Return to Peyton Place,Grace Metalious,1959,Fiction
Eastern Standard Tribe,Cory Doctorow,2004-03-01,"Science Fiction, Speculative fiction"
The Gold Bug Variations,Richard Powers,1991-08-01,"Speculative fiction, Fiction, Novel"
The Golem,Gustav Meyrink,1914,
Storm of Steel,Ernst Jünger,1920,Memoir
Timeline,Michael Crichton,1999-11,"Science Fiction, Fiction, Suspense"
Time in Advance,William Tenn,1958-06,Science Fiction
Danse Macabre,Stephen King,,"Horror, Non-fiction"
Practical Demonkeeping,Christopher Moore,,"Speculative fiction, Fiction, Comic fantasy, Absurdist fiction"
The Return of the Condor Heroes,Louis Cha,1959-05-20,"Wuxia, Romance novel"
Where the Red Fern Grows,Wilson Rawls,,"Children's literature, Fiction"
"Metamora; or, The Last of the Wampanoags",John Augustus Stone,,
The Sovereign State of ITT,,,
Tortilla Flat,John Steinbeck,1935,"Fiction, Novel"
Un dimanche à la piscine à Kigali,Gil Courtemanche,,
Celebrated Cases of Judge Dee,,,"Mystery, Detective fiction"
Destination Moon,Hergé,1953,
Racists,Kunal Basu,,Fiction
Ghostwritten,David Mitchell,1999-08-19,Novel
Endymion,"Benjamin Disraeli, 1st Earl of Beaconsfield",1880,Novel
Puerto Vallarta Squeeze,Robert James Waller,,Fiction
Mary Barton,Elizabeth Gaskell,1948,"Mystery, Industrial novel, Fiction"
"Love in Excess; Or, The Fatal Enquiry",Eliza Haywood,,
The Gift,Vladimir Vladimirovich Nabokov,,
Triss,Brian Jacques,2002,"Children's literature, Fantasy, Speculative fiction, Fiction"
Watch Your Mouth,Daniel Handler,2000-07,"Comedy, Novel"
Blinded by the Right,David Brock,2002,Non-fiction
The Republican Noise Machine,David Brock,2004-05-18,
Prochain épisode,Hubert Aquin,,
Visa for Avalon,Bryher,,
Something Wicked This Way Comes,Ray Bradbury,,"Fantasy, Speculative fiction, Horror, Soft science fiction"
Century Rain,Alastair Reynolds,2004,"Alternate history, Science Fiction, Speculative fiction, Fiction"
The Way of the Wiseguy,Joseph D. Pistone,,True crime
The Eyes of Heisenberg,Frank Herbert,1966,"Science Fiction, Speculative fiction"
Families and How To Survive Them,John Cleese,,
Popcorn,Ben Elton,1996-08-05,"Satire, Fiction, Novel"
Doomsday Book,Connie Willis,1992,"Time travel, Speculative fiction, Science Fiction, Novel"
This Sweet Sickness,Patricia Highsmith,1961,"Mystery, Novel, Fiction, Suspense"
The Green Brain,Frank Herbert,1966,"Science Fiction, Speculative fiction, Fiction"
The Adventures of Peregrine Pickle,Tobias Smollett,1751,"Novel, Picaresque novel"
True Women,Janice Woods Windle,,
Bhowani Junction,John Masters,,
Fences,August Wilson,,
The Adventure of the Dancing Men,Arthur Conan Doyle,,
His Last Bow,Arthur Conan Doyle,,
Amazing Rain,,,
The Long Ships,Frans Gunnar Bengtsson,,
Up at the Villa,W. Somerset Maugham,,Fiction
The Taggerung,Brian Jacques,2001,"Children's literature, Fantasy, Speculative fiction, Fiction"
Marlfox,Brian Jacques,1998,"Children's literature, Fantasy, Speculative fiction, Fiction"
Mattimeo,Brian Jacques,1989,"Children's literature, Fantasy, Speculative fiction, Fiction"
A Night in the Lonesome October,Roger Zelazny,1993,"Speculative fiction, Novel"
Mao II,Don DeLillo,1991-06-20,"Speculative fiction, Fiction, Novel"
Journey's End,R. C. Sherriff,,
Green Hills of Africa,Ernest Hemingway,1935,"Travel, Biography, Travel literature, Non-fiction"
Ben-Hur: A Tale of the Christ,Lew Wallace,1880-11-12,"Historical novel, Children's literature, Historical fiction, Speculative fiction"
All American Girl,Meg Cabot,2002,"Children's literature, Young adult literature, Fiction"
The Great and Secret Show,Clive Barker,1990-01,"Speculative fiction, Fantasy"
Weaveworld,Clive Barker,1987,"Speculative fiction, Fantasy, Dark fantasy"
Mariel of Redwall,Brian Jacques,1991,"Children's literature, Fantasy, Speculative fiction, Fiction"
"Author, Author",David Lodge,2004-10-07,Fiction
The Saint in New York,Leslie Charteris,1935,"Mystery, Fiction, Suspense"
Balzac and the Little Chinese Seamstress,Dai Sijie,2000,"Autobiographical novel, Historical novel"
The Pearls of Lutra,Brian Jacques,1996,"Children's literature, Fantasy, Speculative fiction, Fiction"
Laws,Plato,,Philosophy
The Vampyre,John Polidori,1819-04-01,"Mystery, Horror, Fiction, Suspense"
The Figure in the Carpet,Henry James,,
Boy in Darkness,Mervyn Peake,1956,"Speculative fiction, Horror"
Brimstone,Douglas Preston,2004,"Thriller, Crime Fiction, Techno-thriller, Speculative fiction"
Affirmative Action Around the World,Thomas Sowell,2004,Economics
Ellen Foster,Kaye Gibbons,,"Biography, Fiction, Novel"
Gormenghast,Mervyn Peake,1950,"Gothic fiction, Fantasy of manners, Speculative fiction, Fantasy"
Titus Alone,Mervyn Peake,1959,"Gothic fiction, Speculative fiction, Fantasy"
The Folding Star,Alan Hollinghurst,1994,Novel
The Swimming Pool Library,Alan Hollinghurst,1988-08-12,Fiction
A Tree Grows In Brooklyn,Betty Smith,1943,"Fiction, Novel"
Beau Geste,P. C. Wren,1924,"Foreign legion, Adventure novel"
Das siebte Kreuz,Anna Seghers,1942-09,
The Mysteries of Pittsburgh,Michael Chabon,1988-04,"Fiction, Novel"
The Big Sky,"Alfred Bertram Guthrie, Jr.",1947,Western fiction
The Reivers,William Faulkner,1962,"Fiction, Novel"
The Way We Live Now,Anthony Trollope,1875,"Serial, Satire, Fiction, Social commentary"
The Box of Delights,John Masefield,1935,"Children's literature, Fantasy, Fiction"
Backwards,Rob Grant,1996-02-05,"Science Fiction, Speculative fiction, Comedy"
Orange Crush,Tim Dorsey,2001-07,"Crime Fiction, Mystery, Fiction, Suspense"
Mutation,Robin Cook,1990,"Thriller, Children's literature, Fiction, Novel"
Tom Clancy's Splinter Cell,David Michaels,2004-12-07,Spy fiction
Saint Overboard,Leslie Charteris,1936,"Mystery, Novel, Fiction, Suspense"
In the Light of Truth: The Grail Message,,,
On Basilisk Station,David Weber,1993,"Science Fiction, Speculative fiction, Military science fiction"
Honor Among Enemies,David Weber,1996,"Science Fiction, Speculative fiction, Military science fiction"
The Short Victorious War,David Weber,1994,"Science Fiction, Speculative fiction, Military science fiction"
Flag in Exile,David Weber,1995,"Science Fiction, Speculative fiction, Military science fiction"
Cat's Eye,Margaret Atwood,1988-09,"Speculative fiction, Künstlerroman, Novel"
Life in the Iron Mills,Rebecca Harding Davis,,"Historical fiction, Fiction"
The Honor of the Queen,David Weber,1993,"Science Fiction, Speculative fiction, Military science fiction"
Leo Africanus,Amin Maalouf,,Historical novel
Field of Dishonor,David Weber,1994-11-24,"Science Fiction, Speculative fiction, Military science fiction"
In Enemy Hands,David Weber,1996,"Science Fiction, Speculative fiction, Military science fiction"
Blankets,Craig Thompson,2003-07-23,"Memoir, Graphic novel"
Neutron Star,Larry Niven,,
La Peau de chagrin,Honoré de Balzac,,Fantasy
Echoes of Honor,David Weber,1998,"Science Fiction, Speculative fiction, Military science fiction"
Ashes of Victory,David Weber,2000,"Science Fiction, Speculative fiction, Military science fiction"
War of Honor,David Weber,2002,"Science Fiction, Speculative fiction, Military science fiction"
The Cabinet of Curiosities,Lincoln Child,2002,"Thriller, Science Fiction, Speculative fiction, Fiction"
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,2005,Non-fiction
Ralph 124C 41+,Hugo Gernsback,1911,"Science Fiction, Speculative fiction"
Amsterdam,Ian McEwan,1998-12-01,"Fiction, Novel"
The Gilded Age: A Tale of Today,Mark Twain,1873,Novel
The Legend of the Condor Heroes,Louis Cha,1957,Wuxia
Fool's Errand,Robin Hobb,2001,"Speculative fiction, Fantasy"
Golden Fool,Robin Hobb,,"Speculative fiction, Fantasy, Fiction"
The Friar's Prologue and Tale,Geoffrey Chaucer,,
Shaman's Crossing,Robin Hobb,2005,"Speculative fiction, Fantasy"
Vampire$,John Steakley,1992-05-05,"Speculative fiction, Fantasy"
The Torrents of Spring,Ernest Hemingway,1926,Fiction
Friend of My Youth,Alice Munro,,Fiction
The Song of the Lark,Willa Cather,1915,"Children's literature, Fiction, Novel"
A Kingdom of Dreams,Judith McNaught,1989-03-01,"History, Fiction, Romance novel, Novel"
The Naked Face,Sidney Sheldon,1970,"Thriller, Fiction"
Fool's Fate,Robin Hobb,2003,"Speculative fiction, Fantasy"
Ship of Magic,Robin Hobb,1998-01-09,"Speculative fiction, Fantasy, Fiction"
Salamandastron,Brian Jacques,1992,"Children's literature, Fantasy, Speculative fiction, Fiction"
To Say Nothing of the Dog,Connie Willis,1997,"Science Fiction, Comedy, Fiction"
The Bean Trees,Barbara Kingsolver,1988,"Travel, Children's literature, Fiction"
Crown of Slaves,Eric Flint,,"Science Fiction, Speculative fiction, Spy fiction"
The Shadow of Saganami,David Weber,2004-11-01,"Science Fiction, Speculative fiction, Military science fiction"
Piece of Cake,Derek Robinson,1983,War novel
Muertos incómodos,Paco Ignacio Taibo II,2004-11,Novel
"Alice, Girl from the Future",,,"Science Fiction, Children's literature, Young adult literature"
Asterix and the Big Fight,,,
Trans-Atlantyk,Witold Gombrowicz,,Novel
Rim of the Pit,,,Mystery
The Mediterranean Caper,Clive Cussler,,"Techno-thriller, Fiction, Adventure novel"
Raft,Stephen Baxter,1991,"Hard science fiction, Science Fiction, Speculative fiction"
Radio Golf,August Wilson,,
Timelike Infinity,Stephen Baxter,1992-12-07,"Science Fiction, Speculative fiction"
Learning to Sing: Hearing the Music in Your Life,Clay Aiken,2004-11-16,
Yak Butter Blues: A Tibetan Trek of Faith,,,
The Kite Runner,Khaled Hosseini,2003-05-29,"Historical fiction, Fiction, Novel"
The Sands of Time,Sidney Sheldon,1988,Fiction
Rage of Angels,Sidney Sheldon,1980,"Thriller, Mystery, Novel, Fiction"
The Matarese Circle,Robert Ludlum,1979,"Spy fiction, Fiction"
Metahistory,Hayden V. White,1974,
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005-01-11,Non-fiction
Pharaoh,Bolesław Prus,,Historical novel
Arrival and Departure,Arthur Koestler,,Fiction
Concluding,Henry Green,1946,Novel
Household Gods,Judith Tarr,,"Science Fiction, Speculative fiction"
Camouflage,Joe Haldeman,2004,"Science Fiction, Speculative fiction, Novel"
Exit to Eden,Anne Rice,1985-05,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Infernal Desire Machines of Doctor Hoffman,Angela Carter,1972,"Speculative fiction, Fiction"
My Ántonia,Willa Cather,1918,Historical fiction
Sutherlin Alliance,,,Science Fiction
The First Man in Rome,Colleen McCullough,1990,"Historical fiction, Fiction"
Simulacron-3,Daniel F. Galouye,1964,"Science Fiction, Speculative fiction"
Rakkety Tam,Brian Jacques,2004,"Children's literature, Fantasy, Speculative fiction, Fiction"
Deadhouse Gates,Steven Erikson,2000-09-01,"Speculative fiction, Fantasy, Fiction"
Memories of Ice,Steven Erikson,2001-12-06,"Speculative fiction, Fantasy, Fiction"
House of Chains,Steven Erikson,2002-12-02,"Speculative fiction, Fantasy, Fiction"
Midnight Tides,Steven Erikson,2004-03-01,"Speculative fiction, Fantasy, Fiction"
The Bonehunters,Steven Erikson,2006-03-01,"Speculative fiction, Fantasy, Fiction"
Toll the Hounds,Steven Erikson,2008-06-30,"Speculative fiction, Fantasy, Novel"
The Poison Belt,Arthur Conan Doyle,1913,"Science Fiction, Speculative fiction"
Bodily Harm,Margaret Atwood,1981,"Speculative fiction, Fiction"
Lady Oracle,Margaret Atwood,1976,"Speculative fiction, Fiction"
The Good Shepherd,C. S. Forester,1955,"Historical fiction, Fiction, Historical novel"
Brown on Resolution,C. S. Forester,1929,Fiction
One for the Morning Glory,John Barnes,1996-04,"Speculative fiction, Fantasy"
Stations of the Tide,Michael Swanwick,1991,"Science Fiction, Speculative fiction, Novel"
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,2002,Non-fiction
Death to the French,C. S. Forester,1932,"Fiction, Suspense, Historical novel"
Tom Sawyer Abroad,Mark Twain,1894,"Children's literature, Reference, Novel, Adventure novel"
War for the Oaks,Emma Bull,1987,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Garden of Eden,Ernest Hemingway,1986,Fiction
Marabou Stork Nightmares,Irvine Welsh,1995,"Speculative fiction, Novel"
The Word for World is Forest,Ursula K. Le Guin,1976,"Science Fiction, Children's literature, Novel, Speculative fiction"
Darwinia,Robert Charles Wilson,1998,"Alternate history, Science Fiction, Speculative fiction, Novel"
Blood and Chocolate,Annette Curtis Klause,1997,"Speculative fiction, Fantasy"
Whisky Galore!,Compton Mackenzie,1947,"Farce, Comedy"
The Loneliness of the Long Distance Runner,Alan Sillitoe,,
The Bourne Legacy,Robert Ludlum,2004-06-22,Spy fiction
Journey to the East,Hermann Hesse,1932,"Fiction, Novel"
True West,Sam Shepard,,
Narcissus and Goldmund,Hermann Hesse,1930,Fiction
The Winds of War,Herman Wouk,1971-11-15,"War novel, Children's literature, Fiction"
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,1985,"Speculative fiction, Novel"
The Wind-Up Bird Chronicle,Haruki Murakami,,"Speculative fiction, Fiction, Novel"
Memories of My Melancholy Whores,Gabriel García Márquez,2004,Novel
Maia,Richard Adams,1984,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Pendragon Adventure,D.J. MacHale,,"Fantasy, Science Fiction, Young adult literature"
Perceforest,,,
Peter Simple,Frederick Marryat,,Fiction
Absolute Power,Ray Russell,1996-11-01,"Thriller, Crime Fiction, Speculative fiction, Fiction"
The Original of Laura,Vladimir Vladimirovich Nabokov,,
Shatterglass,Tamora Pierce,2003-03,"Children's literature, Fantasy, Speculative fiction, Fiction"
Nausea,Jean-Paul Sartre,,"Autobiography, Biography, Fiction, Philosophy"
"Abarat: Days of Magic, Nights of War",Clive Barker,2004,"Fantasy, Speculative fiction, Young adult literature"
Brigitta,,,
Kidnapped,Robert Louis Stevenson,,"Children's literature, Fiction, Adventure novel, Historical novel"
True at First Light,Ernest Hemingway,1999,Fiction
Airport,Arthur Hailey,1968,"Mystery, Fiction, Suspense"
One Touch of Venus,S. J. Perelman,,
The Death of Ivan Ilyich,Leo Tolstoy,1886,"Fiction, Philosophy"
The 12.30 from Croydon,Freeman Wills Crofts,,Mystery
The Facts in the Case of M. Valdemar,Edgar Allan Poe,1845-12,Suspense
Against the Fall of Night,Arthur C. Clarke,,"Science Fiction, Speculative fiction"
Jitterbug Perfume,Tom Robbins,,"Speculative fiction, Fiction, Novel"
Kitchen,Banana Yoshimoto,1988,Fiction
Death Wish,Brian Garfield,1972,"Thriller, Crime Fiction, Drama, Fiction"
Peter Camenzind,Hermann Hesse,1904,"Speculative fiction, Fiction, Novel"
The High King,Lloyd Alexander,1968-06,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Diary of a Young Girl,Anne Frank,1947,"Autobiography, Biography, Children's literature, High fantasy"
Gathering Blue,Lois Lowry,2000,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Messenger,Lois Lowry,2004,"Science Fiction, Speculative fiction, Children's literature, Utopian and dystopian fiction"
The Man Who Counted,,,
Boomeritis,Ken Wilber,,Fiction
Veronika Decides to Die,Paulo Coelho,1998,
Attack Poodles and Other Media Mutants,James Wolcott,,
Number 31328,,,
The Songlines,Bruce Chatwin,1987,"Travel, Fiction, Non-fiction"
In Watermelon Sugar,Richard Brautigan,1968-06-14,"Apocalyptic and post-apocalyptic fiction, Speculative fiction, Fiction"
The Kraken Wakes,John Wyndham,,"Science Fiction, Speculative fiction, Fantasy"
Aristoi,Walter Jon Williams,1992,"Science Fiction, Speculative fiction"
The Prometheus Deception,Robert Ludlum,2000-10-31,"Mystery, Spy fiction, Fiction, Suspense"
Loamhedge,Brian Jacques,2003,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Castle of Iron,Fletcher Pratt,1950,"Speculative fiction, Fantasy"
"""Repent, Harlequin!"" Said the Ticktockman",Harlan Ellison,1965-12,Fiction
Esther: A Novel,,,
Leave it to Psmith,P. G. Wodehouse,1923-11-30,"Mystery, Comedy, Comic novel, Humour"
Anne of Avonlea,Lucy Maud Montgomery,1909,Children's literature
Anne of the Island,Lucy Maud Montgomery,1915,"Children's literature, Young adult literature"
Anne's House of Dreams,Lucy Maud Montgomery,1917,"Young adult literature, Novel"
Anne of Windy Poplars,Lucy Maud Montgomery,1936,"Epistolary novel, Children's literature, Young adult literature, Fiction"
Anne of Ingleside,Lucy Maud Montgomery,1939,Novel
The Napoleon of Notting Hill,G. K. Chesterton,1904,"Speculative fiction, Fiction"
Chainfire,Terry Goodkind,2005-01-04,"Science Fiction, Speculative fiction, Fantasy, Fiction"
Aghwee the Sky Monster,Kenzaburō Ōe,1964,
The Butter Battle Book,Dr. Seuss,1984,Children's literature
The Family: The Real Story of the Bush Dynasty,Kitty Kelley,2004-09-14,Non-fiction
Nova,Samuel R. Delany,1968,"Science Fiction, Speculative fiction, Fiction"
Cloud Nine,Caryl Churchill,,
The Amber Room,Steve Berry,2003,"Thriller, Mystery, Crime Fiction, Fiction"
The World at the End of Time,Frederik Pohl,1990,"Science Fiction, Speculative fiction"
Doktor Faustus,Thomas Mann,1947,Fiction
The Stones Are Hatching,Geraldine McCaughrean,1999,"Fantasy, Young adult literature"
Devil's Cub,Georgette Heyer,1932,Romance novel
Secrets in the Fire,Henning Mankell,,"Children's literature, Young adult literature, Fiction"
The Drought,J. G. Ballard,1964,"Science Fiction, Fantasy, Fiction"
Rough Draft,Sergey Lukyanenko,,"Fantasy, Adventure novel"
Resurrection Blues,Arthur Miller,,
Interstellar Pig,William Sleator,,"Science Fiction, Speculative fiction, Children's literature, Fiction"
The Green Futures of Tycho,William Sleator,1981,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Adrian Mole and the Weapons of Mass Destruction,Sue Townsend,2004-10-07,"Young adult literature, Fiction"
Make Way For Ducklings,Robert McCloskey,,"Picture book, Children's literature, Fiction"
Toilers of the Sea,Victor Hugo,,"Fiction, Novel"
The Man Who Laughs,Victor Hugo,,"Historical fiction, Fiction, Romance novel, Novel"
